講義,頁碼,標題,垂直超出px,水平超出px,嚴重度,推定主因,圖片數,表格列數,程式碼輸出行數
ch11,22,Files from Other Software,73,0,中等,表格列數過多,0,12,0
ch11,24,write.table and Friends,213,0,嚴重,表格列數過多,0,8,4
ch11,26,Strategy: Export Then Import — or Connect,34,0,輕微,文字量過多,0,0,0
ch11-zh,18,定寬檔案：read.fwf,149,0,中等,表格列數過多,0,8,2
ch11-zh,22,其他軟體的檔案,73,0,中等,表格列數過多,0,12,0
ch11-zh,24,write.table 與親戚,33,0,輕微,表格列數過多,0,8,4
ch12,11,merge: Arguments and Join Semantics,249,0,嚴重,表格列數過多,0,8,2
ch12,17,"lapply and sapply: Lists, Vectors, Data Frames",105,0,中等,文字量過多,0,0,21
ch12,19,The plyr Library,58,0,中等,文字量過多,0,4,6
ch12,32,by: tapply for Data Frames,0,0,—,橫向溢出/裁切,0,,
ch12,42,reshape: Arguments,145,0,中等,表格列數過多,0,10,0
ch12-zh,17,lapply 與 sapply：串列、向量、資料框,69,0,中等,文字量過多,0,0,21
ch12-zh,32,by：資料框版的 tapply,0,0,—,橫向溢出/裁切,0,,
ch12-zh,42,reshape：引數,36,0,輕微,表格列數過多,0,10,0
ch13,5,plot.default: Arguments,155,0,嚴重,表格列數過多,0,10,4
ch13,13,Grouped and Stacked Bars,471,0,嚴重,同頁多張圖,2,0,2
ch13,14,barplot: Arguments,158,0,嚴重,表格列數過多,0,11,0
ch13,26,Histograms,552,0,嚴重,同頁多張圖,2,0,3
ch13,37,"Text, Lines, Colors, Axes, Points",14,0,輕微,文字量過多,0,0,0
ch13-zh,5,plot.default：引數,82,0,中等,表格列數過多,0,10,4
ch13-zh,13,並排與堆疊,471,0,嚴重,同頁多張圖,2,0,2
ch13-zh,14,barplot：引數,122,0,中等,表格列數過多,0,11,0
ch13-zh,26,直方圖,515,0,嚴重,同頁多張圖,2,0,3
ch13-zh,37,文字、線條、顏色、座標軸、點,51,0,中等,文字量過多,0,0,0
ch14,4,"A Simple Example: Formula, Conditioning, Groups",1116,0,嚴重,同頁多張圖,3,0,4
ch14,5,Graphics-to-Lattice Dictionary,110,0,中等,表格列數過多,0,13,0
ch14,9,barchart,633,0,嚴重,同頁多張圖,2,0,7
ch14,10,Iterating to the Right Display,592,0,嚴重,同頁多張圖,2,0,2
ch14,13,histogram,694,0,嚴重,同頁多張圖,2,0,2
ch14,14,densityplot,649,0,嚴重,同頁多張圖,2,0,4
ch14,16,qqmath,581,0,嚴重,同頁多張圖,2,0,5
ch14,18,qqmath on Prices: Finding the Log-Normal,1290,0,嚴重,同頁多張圖,3,0,6
ch14,20,xyplot,748,0,嚴重,同頁多張圖,2,0,9
ch14,24,levelplot,691,0,嚴重,同頁多張圖,2,0,8
ch14,28,Common Arguments to Lattice Functions,404,0,嚴重,表格列數過多,0,13,0
ch14,31,"plot.trellis, strip.default, simpleKey",0,7,—,橫向溢出/裁切,0,,
ch14-zh,4,簡單範例：公式、條件、分組,1039,0,嚴重,同頁多張圖,3,0,4
ch14-zh,5,graphics 對 lattice 字典,110,0,中等,表格列數過多,0,13,0
ch14-zh,9,barchart,633,0,嚴重,同頁多張圖,2,0,7
ch14-zh,10,迭代逼近正確的呈現,519,0,嚴重,同頁多張圖,2,0,2
ch14-zh,13,histogram,731,0,嚴重,同頁多張圖,2,0,2
ch14-zh,14,densityplot,649,0,嚴重,同頁多張圖,2,0,4
ch14-zh,16,qqmath,581,0,嚴重,同頁多張圖,2,0,5
ch14-zh,18,房價的 qqmath：發現對數常態,1176,0,嚴重,同頁多張圖,3,0,6
ch14-zh,20,xyplot,712,0,嚴重,同頁多張圖,2,0,9
ch14-zh,24,levelplot,691,0,嚴重,同頁多張圖,2,0,8
ch14-zh,28,高階函式的共同引數,183,0,嚴重,表格列數過多,0,13,0
ch14-zh,30,參數：trellis.par.get／set,33,0,輕微,文字量過多,0,0,18
ch14-zh,31,plot.trellis、strip.default、simpleKey,0,7,—,橫向溢出/裁切,0,,
ch15,4,Facets and Colors,998,0,嚴重,同頁多張圖,3,0,3
ch15,5,One Variable: Histogram and Density,437,0,嚴重,同頁多張圖,2,0,4
ch15,6,The Grammar’s Components,45,0,輕微,條列項目過多,0,0,0
ch15,8,The Data,0,50,—,橫向溢出/裁切,0,,
ch15,13,Reordering Factors for Dot Plots,0,0,—,橫向溢出/裁切,1,,
ch15,16,qplot: Arguments,88,0,中等,表格列數過多,0,8,2
ch15,18,The geom Vocabulary,206,0,嚴重,表格列數過多,0,10,0
ch15-zh,4,分面與顏色,961,0,嚴重,同頁多張圖,3,0,3
ch15-zh,5,單變量：直方圖與密度圖,437,0,嚴重,同頁多張圖,2,0,4
ch15-zh,8,資料,0,50,—,橫向溢出/裁切,0,,
ch15-zh,13,替點圖重排因子,0,0,—,橫向溢出/裁切,1,,
ch15-zh,16,qplot：引數,17,0,輕微,表格列數過多,0,8,2
ch15-zh,18,geom 詞彙表,170,0,嚴重,表格列數過多,0,10,0
ch16,5,stem: a Text Histogram,0,0,—,橫向溢出/裁切,0,,
ch16,11,prcomp and princomp,104,0,中等,文字量過多,0,0,18
ch16,12,"loadings, Scree Plot, Biplot",941,0,嚴重,同頁多張圖,2,0,20
ch16,14,factanal,20,0,輕微,文字量過多,0,7,4
ch16,17,Example: How Biased Is the Median?,49,0,輕微,程式碼/輸出過長,0,0,25
ch16-zh,5,stem：文字版直方圖,0,0,—,橫向溢出/裁切,0,,
ch16-zh,11,prcomp 與 princomp,68,0,中等,文字量過多,0,0,18
ch16-zh,12,loadings、碎石圖、雙標圖,904,0,嚴重,同頁多張圖,2,0,20
ch16-zh,17,範例：中位數有多偏？,49,0,輕微,程式碼/輸出過長,0,0,25
ch17,11,Continuous Distributions,246,0,嚴重,表格列數過多,0,13,0
ch17,12,Discrete and Special Distributions,441,0,嚴重,表格列數過多,0,11,6
ch17-zh,11,連續分布,246,0,嚴重,表格列數過多,0,13,0
ch17-zh,12,離散與特殊分布,441,0,嚴重,表格列數過多,0,11,6
ch18,4,t.test: One Sample Against a Hypothesized Mean,115,0,中等,文字量過多,0,0,16
ch18,8,Comparing Variances: var.test and bartlett.test,131,0,中等,文字量過多,0,0,19
ch18,9,ANOVA: Comparing Many Means,157,0,嚴重,程式碼/輸出過長,0,0,25
ch18,13,Arbitrary Distributions: ks.test,15,0,輕微,文字量過多,0,0,17
ch18,14,Correlation Tests: cor.test,114,13,中等,文字量過多,0,0,21
ch18,19,prop.test: Comparing Proportions,65,0,中等,文字量過多,0,0,21
ch18,21,fisher.test: Exact Independence Testing,215,0,嚴重,文字量過多,0,0,21
ch18,23,"chisq.test: Goodness of Fit, Higher Dimensions",199,0,嚴重,文字量過多,0,0,17
ch18-zh,4,t.test：單樣本對假設平均,2,0,輕微,文字量過多,0,0,16
ch18-zh,8,比較變異數：var.test 與 bartlett.test,18,0,輕微,文字量過多,0,0,19
ch18-zh,9,ANOVA：比較多組平均,157,0,嚴重,程式碼/輸出過長,0,0,25
ch18-zh,11,成對 t 檢定,0,14,—,橫向溢出/裁切,0,,
ch18-zh,14,相關檢定：cor.test,114,0,中等,文字量過多,0,0,21
ch18-zh,17,kruskal.test 與 fligner.test,0,14,—,橫向溢出/裁切,0,,
ch18-zh,19,prop.test：比較比例,29,0,輕微,文字量過多,0,0,21
ch18-zh,20,binom.test：白努利試驗,0,3,—,橫向溢出/裁切,0,,
ch18-zh,21,fisher.test：精確的獨立性檢定,102,0,中等,文字量過多,0,0,21
ch18-zh,23,chisq.test：適合度與高維表,13,0,輕微,文字量過多,0,0,17
ch19,3,A Worked Example: Designing a Drug Trial,261,0,嚴重,程式碼/輸出過長,0,0,24
ch19,5,power.t.test,29,0,輕微,表格列數過多,0,9,5
ch19,8,Are Situational Baseball Stats Nonsense?,186,0,嚴重,文字量過多,0,0,19
ch19,10,power.anova.test,253,0,嚴重,文字量過多,0,5,15
ch19-zh,3,實作範例：設計藥物試驗,184,0,嚴重,程式碼/輸出過長,0,0,24
ch19-zh,5,power.t.test,29,0,輕微,表格列數過多,0,9,5
ch19-zh,8,棒球的情境數據是不是鬼扯？,109,0,中等,文字量過多,0,0,19
ch19-zh,10,power.anova.test,217,0,嚴重,文字量過多,0,5,15
ch20,6,Inspecting a Model: summary,0,0,—,橫向溢出/裁切,0,,
ch20-zh,6,檢視模型：summary,0,0,—,橫向溢出/裁切,0,,
ch22,9,Cluster Quality and Hierarchical Clustering,26,0,輕微,文字量過多,1,0,3
ch23,8,ARIMA and Beyond,186,0,嚴重,文字量過多,0,0,17
ch23-zh,8,ARIMA 及其延伸,123,0,中等,文字量過多,0,0,17
